id,color,side,size,x,y,z,rx,ry,rz
0,right,-1,l,3.767912,10.522798,-5.311414,-106.813428,-15.949974,31
1,right,-1,m,-44.666517,17.684554,1.231775,-101.065013,-9.160175,209
2,right,-1,s,1.61431,11.092792,2.376825,-70.717687,-13.171174,331
3,right,0,l,-51.437069,13.916904,7.894888,-82.104211,17.456248,52
4,right,0,m,40.664529,18.818688,-65.87271,-97.665849,0.555275,85
5,right,0,s,69.708177,19.448305,-32.301732,-91.209773,-3.123797,40
6,right,1,l,63.88769,15.315856,-14.917108,-98.827414,3.029604,184
7,right,1,m,-8.977952,10.842483,-0.126215,-101.483143,-4.387066,329
8,right,1,s,32.42626,11.841084,4.927453,-104.551604,-13.622596,348
9,left,-1,l,29.90244,24.817817,57.407958,-98.839605,10.440029,94
10,left,-1,m,40.259461,14.797304,-0.593716,-94.929963,19.423349,156
11,left,-1,s,-27.804366,13.762679,13.684109,-84.283119,4.131917,68
12,left,0,l,22.546317,14.999852,25.529521,-78.201001,-7.007706,84
13,left,0,m,-5.510689,12.204443,-7.527583,-102.34109,5.9217,287
14,left,0,s,-57.48785,20.582551,-30.304537,-89.58503,-11.115984,336
15,left,1,l,-44.220529,26.927642,-45.100178,-90.088557,15.639121,16
16,left,1,m,8.706449,10.771204,-2.535263,-70.637381,5.909316,259
17,left,1,s,18.086993,15.91592,-10.175534,-75.432876,9.307831,109
18,front,-1,l,-7.096883,21.003064,-42.897677,-79.563033,3.88259,74
19,front,-1,m,-55.886279,17.644191,53.076055,-70.735928,-8.15796,215
20,front,-1,s,-0.228725,18.779035,-2.29875,-73.653271,-9.38379,171
21,front,0,l,-38.0597,12.550776,-32.240756,-84.191701,-2.611295,13
22,front,0,m,7.576852,17.337491,-16.530525,-109.879282,-11.029619,307
23,front,0,s,-5.95171,16.440585,13.958966,-85.591384,15.835208,30
24,front,1,l,-21.681787,25.414514,-12.149778,-71.030605,0.906953,230
25,front,1,m,-0.199374,26.38464,-0.041794,-81.912133,12.688651,293
26,front,1,s,-11.714856,11.394318,-25.890813,-97.062059,-19.640819,104
27,back,-1,l,-6.170611,19.452701,-34.191726,-103.929444,-9.101563,80
28,back,-1,m,54.190434,22.67512,21.646126,-75.808382,11.554191,270
29,back,-1,s,15.242215,23.774321,-46.600263,-102.874639,-1.68749,236
30,back,0,l,-40.048005,20.946849,-48.161177,-97.210849,-15.460029,221
31,back,0,m,-34.26408,12.58883,-48.276219,-75.174727,-4.420219,327
32,back,0,s,1.760505,14.956994,0.165047,-94.256504,15.573532,274
33,back,1,l,-39.585554,15.240537,47.1881,-96.774355,19.028501,203
34,back,1,m,-55.310035,10.898851,-51.719556,-108.827104,13.600397,252
35,back,1,s,7.742911,24.660491,14.27475,-107.100892,4.16023,64
